HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"0301","0","Live fish:","","","","","",""
"","1","Ornamental fish:","","","","","",""
"0301.11.00","2","Freshwater","","Free","","Free","",""
"0301.11.00.10","3","Koi (common) carp (Cyprinus carpio)","[""kg""]","","","","",""
"0301.11.00.20","3","Goldfish( Carassius auratus), Crucian carp (Carassius carassius)","[""kg""]","","","","",""
"0301.11.00.90","3","Other","[""kg""]","","","","",""
"0301.19.00.00","2","Other","[""kg""]","Free","","Free","",""
"","1","Other live fish:","","","","","",""
"0301.91.00.00","2","Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)","[""kg""]","Free","","Free","",""
"0301.92.00.00","2","Eels (Anguilla spp.)","[""kg""]","Free","","Free","",""
"0301.93.02","2","Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)","","Free","","Free","",""
"0301.93.02.10","3","Grass carp (Ctenopharyngodon idellus), silver carp (Hypophthalmichthys molitrix) and bighead carp (Aristichthys nobilis)","[""kg""]","","","","",""
"0301.93.02.90","3","Other","[""kg""]","","","","",""
"0301.94.01.00","2","Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)","[""kg""]","Free","","Free","",""
"0301.95.00.00","2","Southern Bluefin tunas (Thunnus maccoyii)","[""kg""]","Free","","Free","",""
"0301.99.03","2","Other","","Free","","Free","",""
"0301.99.03.10","3","Tench (Tinca tinca), sheatfish (Silurus glanis)","[""kg""]","","","","",""
"0301.99.03.15","3","Bighead carp (Aristichthys nobilis)","[""kg""]","","","","",""
"0301.99.03.90","3","Other","[""kg""]","","","","",""
"0302","0","Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304:","","","","","",""
"","1","Salmonidae, excluding edible fish offal of subheadings 0302.91 to 0302.99:","","","","","",""
"0302.11.00","2","Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache  and Oncorhynchus chrysogaster)","","Free","","2.2¢/kg","",""
"0302.11.00.10","3","Rainbow trout (Salmo gairdneri), farmed","[""kg""]","","","","",""
"0302.11.00.90","3","Other","[""kg""]","","","","",""
"0302.13.00","2","Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)","","Free","","4.4¢/kg","",""
"","3","Chinook (king):","","","","","",""
"0302.13.00.13","4","Farmed","[""kg""]","","","","",""
"0302.13.00.14","4","Not farmed","[""kg""]","","","","",""
"0302.13.00.22","3","Chum (dog)","[""kg""]","","","","",""
"0302.13.00.32","3","Pink (humpie)","[""kg""]","","","","",""
"0302.13.00.42","3","Sockeye (red)","[""kg""]","","","","",""
"","3","Coho (silver):","","","","","",""
"0302.13.00.53","4","Farmed","[""kg""]","","","","",""
"0302.13.00.54","4","Not farmed","[""kg""]","","","","",""
"0302.13.00.62","3","Other","[""kg""]","","","","",""
"0302.14.00","2","Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)","","Free","","4.4¢/kg","",""
"","3","Atlantic:","","","","","",""
"0302.14.00.03","4","Farmed","[""kg""]","","","","",""
"0302.14.00.04","4","Not farmed","[""kg""]","","","","",""
"0302.14.00.62","3","Other","[""kg""]","","","","",""
