HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
0201,0,"Meat of bovine animals, fresh or chilled:",,0.0,0.0,0.0,,
0201.10,1,Carcasses and half-carcasses:,,0.0,0.0,0.0,,
0201.10.05,2,Described in general note 15 of the tariff schedule and entered pursuant to its provisions,,0.0,0.0,0.0,,
0201.10.05.10,3,Veal,"[""kg""]",0.0,0.0,0.0,,
0201.10.05.90,3,Other,"[""kg""]",0.0,0.0,0.0,,
0201.10.10,2,Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions,,0.0,0.0,0.0,,
0201.10.10.10,3,Veal,"[""kg""]",0.0,0.0,0.0,,
0201.10.10.90,3,Other,"[""kg""]",0.0,0.0,0.0,,
0201.10.50,2,Other,,0.264,0.0,0.311,,
0201.10.50.10,3,Veal,"[""kg""]",0.0,0.0,0.0,,
0201.10.50.90,3,Other,"[""kg""]",0.0,0.0,0.0,,
0201.20,1,Other cuts with bone in:,,0.0,0.0,0.0,,
,2,Described in general note 15 of the tariff schedule and entered pursuant to its provisions:,,0.0,0.0,0.0,,
,3,Processed:,,0.0,0.0,0.0,,
0201.20.02.00,4,High-quality beef cuts,"[""kg""]",0.04,0.0,0.2,,
0201.20.04.00,4,Other,"[""kg""]",0.1,0.0,0.2,,
0201.20.06.00,3,Other,"[""kg""]",0.0,0.0,0.0,,
,2,Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions:,,0.0,0.0,0.0,,
,3,Processed:,,0.0,0.0,0.0,,
0201.20.10.00,4,High-quality beef cuts,"[""kg""]",0.04,0.0,0.2,,
0201.20.30.00,4,Other,"[""kg""]",0.1,0.0,0.2,,
0201.20.50,3,Other,,0.0,0.0,0.0,,
0201.20.50.15,4,Fresh or chilled bone in veal cuts,"[""kg""]",0.0,0.0,0.0,,
,4,Other:,,0.0,0.0,0.0,,
0201.20.50.25,5,Rib cuts,"[""kg""]",0.0,0.0,0.0,,
0201.20.50.35,5,Chuck cuts,"[""kg""]",0.0,0.0,0.0,,
0201.20.50.45,5,Loin cuts,"[""kg""]",0.0,0.0,0.0,,
0201.20.50.65,5,Hip cuts,"[""kg""]",0.0,0.0,0.0,,
0201.20.50.75,5,Flank or plate cuts,"[""kg""]",0.0,0.0,0.0,,
0201.20.50.91,5,Other,"[""kg""]",0.0,0.0,0.0,,
0201.20.80,2,Other,,0.264,0.0,0.311,,
0201.20.80.10,3,Bison,"[""kg""]",0.0,0.0,0.0,,
0201.20.80.90,3,Other,"[""kg""]",0.0,0.0,0.0,,
0201.30,1,Boneless:,,0.0,0.0,0.0,,
,2,Described in general note 15 of the tariff schedule and entered pursuant to its provisions:,,0.0,0.0,0.0,,
,3,Processed:,,0.0,0.0,0.0,,
0201.30.02.00,4,High-quality beef cuts,"[""kg""]",0.04,0.0,0.2,,
0201.30.04.00,4,Other,"[""kg""]",0.1,0.0,0.2,,
0201.30.06.00,3,Other,"[""kg""]",0.0,0.0,0.0,,
,2,Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions:,,0.0,0.0,0.0,,
,3,Processed:,,0.0,0.0,0.0,,
0201.30.10.00,4,High-quality beef cuts,"[""kg""]",0.04,0.0,0.2,,
0201.30.30.00,4,Other,"[""kg""]",0.1,0.0,0.2,,
0201.30.50,3,Other,,0.0,0.0,0.0,,
0201.30.50.15,4,Fresh or chilled boneless veal cuts,"[""kg""]",0.0,0.0,0.0,,
,4,Other:,,0.0,0.0,0.0,,
0201.30.50.25,5,Rib cuts,"[""kg""]",0.0,0.0,0.0,,
0201.30.50.35,5,Chuck cuts,"[""kg""]",0.0,0.0,0.0,,
0201.30.50.45,5,Loin cuts,"[""kg""]",0.0,0.0,0.0,,
0201.30.50.55,5,Brisket cuts,"[""kg""]",0.0,0.0,0.0,,
0201.30.50.65,5,Hip cuts,"[""kg""]",0.0,0.0,0.0,,
0201.30.50.75,5,Flank or plate cuts,"[""kg""]",0.0,0.0,0.0,,
0201.30.50.85,5,Other,"[""kg""]",0.0,0.0,0.0,,
0201.30.80,2,Other,,0.264,0.0,0.311,,
0201.30.80.10,3,Bison,"[""kg""]",0.0,0.0,0.0,,
0201.30.80.90,3,Other,"[""kg""]",0.0,0.0,0.0,,
0202,0,"Meat of bovine animals, frozen:",,0.0,0.0,0.0,,
0202.10,1,Carcasses and half-carcasses:,,0.0,0.0,0.0,,
0202.10.05,2,Described in general note 15 of the tariff schedule and entered pursuant to its provisions,,0.0,0.0,0.0,,
0202.10.05.10,3,Veal,"[""kg""]",0.0,0.0,0.0,,
0202.10.05.90,3,Other,"[""kg""]",0.0,0.0,0.0,,
0202.10.10,2,Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions,,0.0,0.0,0.0,,
0202.10.10.10,3,Veal,"[""kg""]",0.0,0.0,0.0,,
0202.10.10.90,3,Other,"[""kg""]",0.0,0.0,0.0,,
0202.10.50,2,Other,,0.264,0.0,0.311,,
0202.10.50.10,3,Veal,"[""kg""]",0.0,0.0,0.0,,
0202.10.50.90,3,Other,"[""kg""]",0.0,0.0,0.0,,
